Epoch,Loss,Train Reward,Eval Reward,Time
0,-0.5928069949150085,-27.63726806640625,-24.86209316253662,2.554457187652588
1,-0.6101844310760498,-26.759868621826172,nan,2.915260076522827
2,-0.6054089665412903,-26.456499099731445,nan,3.2589361667633057
3,-0.6426181197166443,-26.783432006835938,nan,3.655161142349243
4,-0.5739374756813049,-27.2181453704834,nan,3.9774231910705566
5,-0.5944885015487671,-26.474132537841797,nan,4.319029092788696
6,-0.583976686000824,-25.355361938476562,nan,4.691769123077393
7,-0.6294047236442566,-26.130441665649414,nan,5.0925071239471436
8,-0.6124513745307922,-27.143173217773438,nan,5.4765801429748535
9,-0.6314598321914673,-26.435354232788086,nan,5.987990140914917
10,-0.5797098875045776,-27.121505737304688,nan,6.432061195373535
11,-0.6358153820037842,-25.83445167541504,nan,6.89232611656189
12,-0.6273388862609863,-27.010351181030273,nan,7.338590145111084
13,-0.5932297110557556,-26.505661010742188,nan,7.767582893371582
14,-0.5914114713668823,-25.783794403076172,nan,8.1652352809906
15,-0.5816881060600281,-27.18621253967285,nan,8.53943920135498
16,-0.5970227718353271,-25.50132942199707,nan,8.969348192214966
17,-0.5984825491905212,-26.307912826538086,nan,9.38667607307434
18,-0.5597702860832214,-25.434694290161133,nan,9.824327230453491
19,-0.5601664185523987,-25.394775390625,nan,10.335412979125977
20,-0.5648882389068604,-26.31562042236328,nan,10.78518009185791
21,-0.5414655208587646,-25.738245010375977,nan,11.182931184768677
22,-0.5366252660751343,-25.522981643676758,nan,11.631853103637695
23,-0.5060713291168213,-24.32246971130371,nan,12.080803155899048
24,-0.5638068318367004,-26.62230110168457,nan,12.762305974960327
25,-0.5338327884674072,-25.176725387573242,nan,13.19953727722168
26,-0.5584605932235718,-23.757221221923828,nan,13.678812265396118
27,-0.5477067232131958,-25.491445541381836,nan,14.127688884735107
28,-0.5491824746131897,-25.653602600097656,nan,14.585650205612183
29,-0.5521421432495117,-24.72844123840332,nan,15.02154803276062
30,-0.5108968615531921,-25.264568328857422,nan,15.42181134223938
31,-0.5518509149551392,-25.458797454833984,nan,15.849568128585815
32,-0.489923357963562,-25.49193000793457,nan,16.30528998374939
33,-0.5270072221755981,-25.77398681640625,nan,16.747152090072632
34,-0.5431118607521057,-25.085803985595703,nan,17.19412088394165
35,-0.49559885263442993,-24.091991424560547,nan,17.600686073303223
36,-0.5400927066802979,-26.05257797241211,nan,18.035921096801758
37,-0.5127632021903992,-24.519733428955078,nan,18.46840214729309
38,-0.5106135606765747,-25.912559509277344,nan,18.91244602203369
39,-0.5296838283538818,-25.450904846191406,nan,19.470266103744507
40,-0.4783802628517151,-24.751134872436523,nan,19.87316608428955
41,-0.49008333683013916,-25.968503952026367,nan,20.255004167556763
42,-0.4801179766654968,-23.876873016357422,nan,20.674995183944702
43,-0.47761470079421997,-24.179054260253906,nan,21.070115089416504
44,-0.47879502177238464,-23.803117752075195,nan,21.477471113204956
45,-0.4809877872467041,-24.99654197692871,nan,21.955750226974487
46,-0.5090763568878174,-25.245649337768555,nan,22.454779148101807
47,-0.4889579713344574,-24.83781623840332,nan,22.874529123306274
48,-0.45898574590682983,-23.851469039916992,nan,23.278385162353516
49,-0.4933534860610962,-24.89751434326172,nan,23.678754091262817
50,-0.47948017716407776,-24.628032684326172,-24.36597843170166,26.358731985092163
