Epoch,Loss,Time
0,0.007965564727783203,0.023138046264648438
1,-0.017627239227294922,0.028637170791625977
2,-0.25297269225120544,0.033679962158203125
3,0.34932708740234375,0.04010891914367676
4,0.4469890892505646,0.04567217826843262
5,-0.2357025146484375,0.05059814453125
6,-0.5388059020042419,0.05562782287597656
7,-0.54222172498703,0.06055402755737305
8,-0.21690361201763153,0.06534910202026367
9,-0.1921275109052658,0.07032108306884766
10,0.6553444266319275,0.07544493675231934
11,0.45373818278312683,0.08070492744445801
12,0.4918101131916046,0.08564400672912598
13,0.3830009698867798,0.09029221534729004
14,-0.08684444427490234,0.09525394439697266
15,0.23345017433166504,0.09992790222167969
16,0.049918968230485916,0.10443687438964844
17,-0.2369118481874466,0.10927820205688477
18,-0.01599089242517948,0.11425018310546875
19,0.3202560842037201,0.11937904357910156
